	C:\Users\jparent1\Documents\GitHub\ISSUL-Gaitway2Visual3D\TestFolder\Data\003\filename.c3d	C:\Users\jparent1\Documents\GitHub\ISSUL-Gaitway2Visual3D\TestFolder\Data\003\filename.c3d	C:\Users\jparent1\Documents\GitHub\ISSUL-Gaitway2Visual3D\TestFolder\Data\003\filename.c3d	C:\Users\jparent1\Documents\GitHub\ISSUL-Gaitway2Visual3D\TestFolder\Data\003\filename.c3d	C:\Users\jparent1\Documents\GitHub\ISSUL-Gaitway2Visual3D\TestFolder\Data\003\filename.c3d	C:\Users\jparent1\Documents\GitHub\ISSUL-Gaitway2Visual3D\TestFolder\Data\003\filename.c3d	C:\Users\jparent1\Documents\GitHub\ISSUL-Gaitway2Visual3D\TestFolder\Data\003\filename.c3d	C:\Users\jparent1\Documents\GitHub\ISSUL-Gaitway2Visual3D\TestFolder\Data\003\filename.c3d	C:\Users\jparent1\Documents\GitHub\ISSUL-Gaitway2Visual3D\TestFolder\Data\003\filename.c3d	C:\Users\jparent1\Documents\GitHub\ISSUL-Gaitway2Visual3D\TestFolder\Data\003\filename.c3d	C:\Users\jparent1\Documents\GitHub\ISSUL-Gaitway2Visual3D\TestFolder\Data\003\filename.c3d	C:\Users\jparent1\Documents\GitHub\ISSUL-Gaitway2Visual3D\TestFolder\Data\003\filename.c3d	C:\Users\jparent1\Documents\GitHub\ISSUL-Gaitway2Visual3D\TestFolder\Data\003\filename.c3d	C:\Users\jparent1\Documents\GitHub\ISSUL-Gaitway2Visual3D\TestFolder\Data\003\filename.c3d	C:\Users\jparent1\Documents\GitHub\ISSUL-Gaitway2Visual3D\TestFolder\Data\003\filename.c3d	C:\Users\jparent1\Documents\GitHub\ISSUL-Gaitway2Visual3D\TestFolder\Data\003\filename.c3d	C:\Users\jparent1\Documents\GitHub\ISSUL-Gaitway2Visual3D\TestFolder\Data\003\filename.c3d
	ANALOG TIME	FP	FP	FP	FP	FP	FP	FP-L	FP-L	FP-L	FP-L	FP-L	FFP-R	FFP-R	FFP-R	FFP-R	FFP-R
	FRAME NUMBERS	FORCE	FORCE	FORCE	COFP	COFP	FREEMOMENT	FORCE	FORCE	FORCE	COFP	COFP	FORCE	FORCE	FORCE	COFP	COFP
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	0	Z	X	Y	X	Y	Z	Z	X	Y	X	Y	Z	X	Y	X	Y
0	0.0	945.6945	-62.1456	-101.6836	0.4726	1.0183	11.7443	0.0	0.0	0.0			0	0	0		
1	0.001	945.3849	-61.637	-101.6783	0.4724	1.0176	11.5253	0.0	0.0	0.0			0	0	0		
2	0.002	945.0572	-61.1164	-101.6879	0.4723	1.0169	11.2985	0.0	0.0	0.0			0	0	0		
3	0.003	944.7158	-60.5879	-101.7191	0.4722	1.0162	11.0652	0.0	0.0	0.0			0	0	0		
4	0.004	944.3659	-60.0558	-101.7795	0.4721	1.0155	10.8265	0.0	0.0	0.0			0	0	0		
5	0.005	944.0137	-59.5246	-101.8776	0.4719	1.0147	10.5839	0.0	0.0	0.0			0	0	0		
6	0.006	943.6659	-58.9988	-102.0226	0.4718	1.0139	10.3385	0.0	0.0	0.0			0	0	0		
7	0.007	943.3303	-58.483	-102.2245	0.4717	1.013	10.0917	0.0	0.0	0.0			0	0	0		
8	0.008	943.0155	-57.9821	-102.4941	0.4716	1.0122	9.8447	0.0	0.0	0.0			0	0	0		
9	0.009	942.7309	-57.5004	-102.8426	0.4716	1.0114	9.5987	0.0	0.0	0.0			0	0	0		
10	0.01	942.4865	-57.0424	-103.282	0.4715	1.0105	9.3547	0.0	0.0	0.0			0	0	0		
